grab to warehouse30, 🚗 Transport, 27.0
eye drops, 👻 Miscellaneous, 240.0
my first coffee order in thai!, 🍒 Food, 30.0
hong sieng kong, 🍒 Food, 360.0
toasted buns, 🍒 Food, 25.0
face wash+colgate, 👻 Miscellaneous, 258.0
morning coffee, 🍒 Food, 25.0
lunch, 🍒 Food, 65.0
chives snack, 🍒 Food, 55.0
711 green tea, 🍒 Food, 30.0
avocado smoothie, 🍒 Food, 80.0
grab to badminton , 🚗 Transport, 100.0
badminton rental, 🎉 Fun, 100.0
supper, 🍒 Food, 60.0
